Country Name,Country Code,GDP Type,Year,GDP Value
"Aruba","ABW","GDP at market prices (current US$)",2005,2331005586.5921788
"Andorra","AND","GDP at market prices (current US$)",2005,3248134606.7751083
"Afghanistan","AFG","GDP at market prices (current US$)",2005,6275076016.471736
"Angola","AGO","GDP at market prices (current US$)",2005,36970918699.252289
"Albania","ALB","GDP at market prices (current US$)",2005,8158548716.5294094
"Arab World","ARB","GDP at market prices (current US$)",2005,1179756448666.8132
"United Arab Emirates","ARE","GDP at market prices (current US$)",2005,180617018379.85025
"Argentina","ARG","GDP at market prices (current US$)",2005,220813784300.12421
"Armenia","ARM","GDP at market prices (current US$)",2005,4900469515.07252
"Antigua and Barbuda","ATG","GDP at market prices (current US$)",2005,997374111.111111
"Australia","AUS","GDP at market prices (current US$)",2005,693075477371.82373
"Austria","AUT","GDP at market prices (current US$)",2005,314648986444.47205
"Azerbaijan","AZE","GDP at market prices (current US$)",2005,13245421880.834042
"Burundi","BDI","GDP at market prices (current US$)",2005,1117257279.4618821
"Belgium","BEL","GDP at market prices (current US$)",2005,387365999253.82416
"Benin","BEN","GDP at market prices (current US$)",2005,4803702821.080554
"Burkina Faso","BFA","GDP at market prices (current US$)",2005,5462709498.4511852
"Bangladesh","BGD","GDP at market prices (current US$)",2005,69442943089.4309
"Bulgaria","BGR","GDP at market prices (current US$)",2005,29821662537.322914
"Bahrain","BHR","GDP at market prices (current US$)",2005,15968726861.702127
"Bahamas, The","BHS","GDP at market prices (current US$)",2005,7706222000
"Bosnia and Herzegovina","BIH","GDP at market prices (current US$)",2005,11225138297.195908
"Belarus","BLR","GDP at market prices (current US$)",2005,30210091836.829445
"Belize","BLZ","GDP at market prices (current US$)",2005,1114202700
"Bermuda","BMU","GDP at market prices (current US$)",2005,4868136000
"Bolivia","BOL","GDP at market prices (current US$)",2005,9549077869.1065044
"Brazil","BRA","GDP at market prices (current US$)",2005,891629970423.92383
"Barbados","BRB","GDP at market prices (current US$)",2005,3897500000
"Brunei Darussalam","BRN","GDP at market prices (current US$)",2005,9531402847.873106
"Bhutan","BTN","GDP at market prices (current US$)",2005,818869145.12471652
"Botswana","BWA","GDP at market prices (current US$)",2005,9931134940.5134621
"Central African Republic","CAF","GDP at market prices (current US$)",2005,1350301057.0686643
"Canada","CAN","GDP at market prices (current US$)",2005,1164144248225.7798
"Central Europe and the Baltics","CEB","GDP at market prices (current US$)",2005,883741483175.45081
"Switzerland","CHE","GDP at market prices (current US$)",2005,407535656039.19049
"Channel Islands","CHI","GDP at market prices (current US$)",2005,8827272727.2727261
"Chile","CHL","GDP at market prices (current US$)",2005,124404150138.227
"China","CHN","GDP at market prices (current US$)",2005,2268598904116.2759
"Cote d'Ivoire","CIV","GDP at market prices (current US$)",2005,17084928927.455517
"Cameroon","CMR","GDP at market prices (current US$)",2005,16587858856.677778
"Congo, Rep.","COG","GDP at market prices (current US$)",2005,6087002681.7409525
"Colombia","COL","GDP at market prices (current US$)",2005,146566266310.57016
"Comoros","COM","GDP at market prices (current US$)",2005,380372892.60677356
"Cabo Verde","CPV","GDP at market prices (current US$)",2005,971976952.23187232
"Costa Rica","CRI","GDP at market prices (current US$)",2005,19964925502.646351
"Caribbean small states","CSS","GDP at market prices (current US$)",2005,46626977226.762077
"Cuba","CUB","GDP at market prices (current US$)",2005,42644200000
"Cyprus","CYP","GDP at market prices (current US$)",2005,18270009451.325672
"Czech Republic","CZE","GDP at market prices (current US$)",2005,135990215966.67418
